,NOMBRE_DE_,X_Coord,Y_Coord,ID,HOM TOT,HP TOT,HOM CM,HP CM,HOM PM,HP PM,HOMICIDIOS,HURTOS MOT,geometry
0,LAS FLORES,918113.667,1712875.681,1,11,71,0,0,0,2,0,2,"POLYGON ((917842.5846864765 1713450.9322272616, 917978.2784941966 1713297.1222305528, 917991.0663923064 1713291.4387202817, 918049.322372584 1713238.8662502752, 918110.4201079973 1713191.9772905393, 918158.7299453007 1713172.085004591, 918168.6760882749 1713162.1388616166, 918189.9892517912 1713145.0883308037, 918204.1980274686 1713116.6707794487, 918392.4643051954 1713035.680758087, 918399.5686930341 1713021.4719824095, 918437.9323873633 1713004.4214515965, 918443.6158976343 1712980.2665329447, 918416.619223847 1712913.4852872607, 918413.7774687116 1712887.9094910412, 918406.6730808729 1712879.3842256346, 918418.0401014148 1712836.7578986022, 918420.8818565503 1712802.6568369763, 918420.8818565503 1712782.7645510277, 918449.8699628889 1712676.9763997456, 918427.4778148872 1712669.5672331273, 918425.5020371223 1712665.9449738918, 918453.8215184186 1712659.359048009, 918415.1983462793 1712610.8383653301, 918352.6797332984 1712527.006588833, 918311.4742838336 1712471.5923636907, 918273.1105895045 1712420.440771252, 918263.1644465302 1712426.1242815228, 918213.433731659 1712505.6934253168, 918177.9117924653 1712571.0537934331, 918160.8612616523 1712609.4174877624, 918121.0766897553 1712595.208712085, 918109.7096692134 1712602.3130999235, 918091.2382608326 1712612.2592428979, 918051.4536889356 1712612.2592428979, 917984.6724432515 1712582.4208139752, 917885.2110135091 1712524.1648336975, 917868.160482696 1712541.2153645107, 917835.4802986378 1712576.7373037043, 917835.4802986378 1712619.3636307367, 917846.8473191798 1712649.2020596594, 917846.8473191798 1712676.1987334467, 917835.4802986378 1712751.5052445375, 917848.2681967475 1712777.0810407568, 917876.6857481025 1712775.660163189, 917848.2681967475 1712812.6029799506, 917799.958359444 1712917.747919964, 917909.3659321608 1712970.3203899707, 917919.312075135 1712995.8961861902, 917906.5241770252 1713008.6840843, 917900.8406667543 1713024.3137375452, 917895.8675952671 1713038.8777326145, 917876.3305287106 1713054.8626052516, 917849.4271293824 1713071.3053203558, 917806.9303844752 1713104.3161126173, 917849.612224477 1713144.9469862333, 917901.1958861462 1713196.9503620267, 917894.0914983074 1713212.9352346638, 917863.8978499927 1713255.5615616962, 917846.1368803959 1713275.0986282527, 917842.5846864765 1713319.5010522448, 917849.6890743152 1713340.8142157611, 917823.04761992 1713417.1863850276, 917810.6149412022 1713426.066869826, 917842.5846864765 1713450.9322272616))"
1,EL LIMONCITO,919743.464,1710582.623,2,1,35,0,2,0,1,0,3,"POLYGON ((919914.0663373095 1710698.3075575626, 919975.5340172208 1710642.6543879132, 920001.784523789 1710616.4038813452, 920075.4000748168 1710539.935014386, 920103.9332341298 1710510.2605287004, 920090.2373176595 1710498.847264975, 920076.1381320925 1710491.9882017262, 920048.0082418761 1710478.3033902696, 920035.4297531975 1710464.6150349427, 920009.2031452103 1710436.0743144862, 919936.1582573688 1710343.6268783119, 919898.4944870755 1710291.1258651759, 919869.9613277623 1710251.1794421375, 919863.1133695273 1710224.9289355692, 919853.9827585471 1710203.2437344913, 919754.6873641375 1710316.2350453713, 919641.1253900713 1710179.2758806683, 919630.8534527186 1710182.6998597858, 919601.178967033 1710261.45137949, 919588.6243769352 1710280.853927823, 919573.7871340924 1710294.5498442932, 919533.840711054 1710315.0937189986, 919534.5213901859 1710316.767388864, 919630.8534527186 1710553.630930856, 919602.8909565918 1710566.185520954, 919564.0858599261 1710616.403881345, 919486.4756665943 1710707.7099911468, 919470.4970973791 1710728.2538658523, 919601.7496302193 1710828.6905866344, 919557.2379016909 1710880.0502733977, 919470.4970973791 1710986.1936260425, 919578.9231027688 1711068.3691248642, 919606.4499135946 1711044.9203600867, 919600.4585047604 1711042.6036820041, 919785.8099076584 1710803.3816743232, 919836.9413291474 1710754.0763750302, 919910.899278087 1710694.727403659, 919914.0663373095 1710698.3075575626))"
2,ANDALUCIA,919482.977,1710057.209,3,0,29,0,1,0,1,0,2,"POLYGON ((919853.9827585471 1710203.2437344913, 919854.7567698093 1710188.433630317, 919839.2614094818 1710135.2104361483, 919827.0998036177 1710093.4379638329, 919807.8601749627 1710047.7438457771, 919803.1880941902 1710040.4872096837, 919751.3437657886 1709959.9630400387, 919709.2570781057 1709897.4342469098, 919619.0713187853 1709772.3766606522, 919612.7113091102 1709767.4299864604, 919608.2490276669 1709763.9593231156, 919570.9722471478 1709783.1989517706, 919524.0756523012 1709803.6410572166, 919483.1914414093 1709827.6905930354, 919427.8775090261 1709863.7648967635, 919400.2205428345 1709892.624339746, 919390.600728507 1709893.826816537, 919271.555526204 1709754.3395087882, 919263.1381886675 1709761.5543695337, 919243.8985600125 1709794.021242889, 919199.4069187477 1709832.5005001992, 919109.9669362153 1709884.9719566181, 919109.2211594273 1709885.4094790004, 919186.1796740474 1710012.87201884, 919165.7375686015 1710026.0992635402, 919148.9028935283 1710057.3636601046, 919153.7128006921 1710066.9834744323, 919180.1672900927 1710081.4131959234, 919210.2292098661 1710113.8800692789, 919253.51837434 1710199.2559214355, 919317.4573540278 1710327.133880811, 919328.0719353781 1710348.3630435118, 919364.1462391063 1710347.1605667209, 919420.6626482805 1710331.5283684386, 919514.4558379736 1710319.5036005294, 919534.5213901859 1710316.767388864, 919533.840711054 1710315.0937189986, 919573.7871340924 1710294.5498442932, 919588.6243769352 1710280.853927823, 919601.178967033 1710261.45137949, 919630.8534527186 1710182.6998597858, 919641.1253900713 1710179.2758806683, 919754.6873641375 1710316.2350453713, 919853.9827585471 1710203.2437344913))"
3,SIAPE,920835.114,1711261.932,4,1,50,0,1,0,1,0,2,"POLYGON ((920629.5767389066 1711241.7636749586, 920625.7186317735 1711246.8602812868, 920666.5869666291 1711285.2421719437, 920673.8469961006 1711291.5167823758, 920726.1591672209 1711341.0176289617, 920807.5827344748 1711390.4280229057, 920841.8146566994 1711423.6818902097, 920841.8146566994 1711433.4624394167, 920839.858546858 1711447.1552083064, 920884.8490732104 1711484.3212952933, 920904.4101716245 1711495.079899421, 920913.2126659108 1711494.1018445003, 920933.803059255 1711481.713148838, 920944.9550028719 1711464.4084087426, 920957.6451456083 1711433.6444263514, 920979.7204005187 1711408.0330114784, 920984.6106751222 1711399.230517192, 920986.5667849636 1711379.6694187778, 920986.4866960846 1711379.1835462453, 920971.8959611531 1711290.6664209939, 920965.0495767081 1711253.500334007, 920923.9712700385 1711152.7606771744, 920898.5418421002 1711090.1651622495, 920869.2001944791 1711069.6260089148, 920841.8146566994 1711049.0868555799, 920832.0341074924 1711043.2185260556, 920819.7163317715 1711033.5402737034, 920818.3413386025 1711032.459921928, 920811.5759839842 1711039.9614032146, 920631.4121536022 1711239.7285519282, 920629.5767389066 1711241.7636749586))"
4,SAN SALVADOR,920525.957,1710954.168,5,2,65,0,1,0,1,0,2,"POLYGON ((920250.3861202614 1710910.5179840578, 920229.7957684522 1710939.1156949038, 920307.2176542389 1711145.9772959899, 920308.4273712044 1711147.1870129553, 920375.9842796841 1711031.5128787658, 920566.9655680915 1711199.316826347, 920619.8099051751 1711242.4266802836, 920625.7186317735 1711246.8602812868, 920629.5767389066 1711241.7636749586, 920631.4121536022 1711239.7285519282, 920811.5759839842 1711039.9614032146, 920807.314647742 1711034.9252785647, 920800.5402327357 1711006.859844967, 920769.571478421 1710938.1479213312, 920756.0226484083 1710910.0824877336, 920726.0216676659 1710871.3715448403, 920687.3107247726 1710835.563922664, 920679.5685361939 1710830.7250548024, 920665.5116250558 1710814.0309606795, 920631.4459953096 1710786.1590817964, 920603.5741164264 1710752.0934520504, 920592.7350524163 1710742.028606898, 920561.7662981016 1710713.382509157, 920526.1522306398 1710675.4457851215, 920490.5381631779 1710656.0903136749, 920485.7500878046 1710655.585026105, 920482.7420801539 1710655.2675898161, 920475.9663559091 1710662.7961723104, 920431.3892444803 1710713.4519807522, 920375.6678551943 1710765.1209053628, 920368.5760420124 1710770.186486207, 920348.3137186357 1710791.4619257527, 920328.6592649602 1710810.1032632592, 920313.259899194 1710827.1236148956, 920305.9654627783 1710853.0593888178, 920301.102505168 1710858.7328393634, 920259.7673654794 1710908.1729084025, 920252.4729290637 1710912.225373078, 920250.3861202614 1710910.5179840578))"
5,SOLAIRE,919936.438,1709987.659,6,0,0,0,0,0,0,0,0,"POLYGON ((919945.8912001607 1709781.1712891222, 919937.71568859 1709793.4345564784, 919898.0163052272 1709845.8377425172, 919859.1109095316 1709897.4469408889, 919831.3213411777 1709949.8501269277, 919810.677661829 1710020.5150293135, 919803.1880941902 1710040.4872096837, 919807.8601749627 1710047.7438457771, 919827.0998036177 1710093.4379638329, 919839.2614094818 1710135.2104361483, 919840.7151250808 1710133.1010020238, 920082.1513611892 1710074.5710053914, 920088.422432257 1710060.9836847445, 920068.0414512868 1710003.4988666235, 920019.7019451396 1709919.8845857203, 919945.8912001607 1709781.1712891222))"
6,VILLA DEL ESTE,919793.447,1709812.33,7,0,10,0,0,0,0,0,0,"POLYGON ((919862.4400263777 1709648.9595038553, 919855.3731065138 1709650.046722296, 919620.9239052201 1709765.7874672385, 919612.7113091102 1709767.4299864604, 919619.0713187853 1709772.3766606522, 919709.2570781057 1709897.4342469098, 919751.3437657886 1709959.9630400387, 919803.1880941902 1710040.4872096837, 919810.677661829 1710020.5150293135, 919831.3213411777 1709949.8501269277, 919859.1109095316 1709897.4469408889, 919898.0163052272 1709845.8377425172, 919937.71568859 1709793.4345564784, 919945.8912001607 1709781.1712891222, 919943.9265030709 1709777.4790135566, 919921.7164597058 1709725.220087992, 919885.1352118107 1709672.9611624274, 919868.1510610022 1709654.67053848, 919862.4400263777 1709648.9595038553))"
7,RIOMAR,919375.497,1709557.024,8,0,149,0,1,0,0,0,1,"POLYGON ((919846.437441589 1709546.638292527, 919840.5735249867 1709543.1199425657, 919836.2237860281 1709521.3712477728, 919810.1253522766 1709451.7754244353, 919788.3766574836 1709370.5802972082, 919769.527788663 1709303.8842998429, 919744.8792678977 1709251.6874323399, 919718.6299772785 1709208.8596423825, 919717.3309211598 1709206.7401297677, 919660.7843146981 1709234.2884765053, 919527.3923199679 1709293.7349089396, 919520.1427550368 1709302.4343868566, 919523.0425810092 1709308.2340388016, 919567.9898835814 1709341.582037484, 919585.3888394157 1709360.4309063046, 919585.3888394157 1709364.7806452631, 919524.4924939955 1709393.7789049873, 919399.7999771824 1709450.325511449, 919385.3008473204 1709454.6752504075, 919379.5011953756 1709450.325511449, 919369.3518044722 1709440.1761205455, 919346.153196693 1709403.9282958906, 919318.6048499553 1709367.6804712357, 919263.5081564797 1709293.7349089396, 919241.7594616867 1709270.5363011605, 919201.1618980732 1709238.638215464, 919164.9140734182 1709205.2902167814, 919162.1307728213 1709207.9188895675, 919138.8156396666 1709229.9387375468, 919050.3709475085 1709316.9335167187, 919001.0739059778 1709409.7279478353, 918966.275994309 1709470.6242932559, 918948.8770384747 1709490.9230750625, 918921.3286917368 1709514.1216828418, 918863.4438725446 1709553.1939357964, 918863.3321722889 1709553.269333469, 918864.0440544114 1709555.8795679181, 918867.6819112475 1709569.2183763173, 918914.0791268059 1709631.5646347238, 918969.1758202814 1709705.51019702, 918996.7241670191 1709743.207934661, 919050.3709475085 1709808.45401904, 919080.8191202186 1709841.8020177225, 919101.1179020255 1709880.94966835, 919109.9669362153 1709884.9719566181, 919199.4069187477 1709832.5005001992, 919243.8985600125 1709794.021242889, 919263.1381886675 1709761.5543695337, 919271.555526204 1709754.3395087882, 919390.600728507 1709893.826816537, 919400.2205428345 1709892.624339746, 919427.8775090261 1709863.7648967635, 919483.1914414093 1709827.6905930354, 919524.0756523012 1709803.6410572166, 919570.9722471478 1709783.1989517706, 919608.2490276669 1709763.9593231156, 919612.7113091102 1709767.4299864604, 919620.9239052201 1709765.7874672385, 919855.3731065138 1709650.046722296, 919862.4400263777 1709648.9595038553, 919861.6186953066 1709648.1381727844, 919886.4416849498 1709635.0734413932, 919907.3452551756 1709629.8475488366, 919909.9582014539 1709623.315183141, 919898.1999432018 1709611.556924889, 919872.0704804196 1709582.8145158286, 919844.634544498 1709547.5397410726, 919846.437441589 1709546.638292527))"
8,EL GOLF,920069.614,1709342.943,9,0,65,0,3,0,0,0,3,"POLYGON ((920497.4113729133 1709313.8371389334, 920494.242762918 1709306.5946018014, 920397.9723345429 1709187.1264798418, 920395.2536091655 1709187.1264798418, 920394.4926805053 1709187.1264798418, 920360.8560248079 1709197.5654419549, 920218.1902092642 1709242.8009444443, 920109.1610494177 1709276.4376001416, 920005.9313129672 1709310.074255839, 919884.1434216494 1709145.37063139, 919836.5881498015 1709162.7689015782, 919727.558989955 1709203.3648653508, 919718.6299772785 1709208.8596423825, 919744.8792678977 1709251.6874323399, 919769.527788663 1709303.8842998429, 919788.3766574836 1709370.5802972082, 919810.1253522766 1709451.7754244353, 919836.2237860281 1709521.3712477728, 919840.5735249867 1709543.1199425657, 919846.437441589 1709546.638292527, 919847.2474907764 1709546.2332679334, 920041.258751935 1709495.2808155078, 920164.0672270118 1709460.0060407517, 920272.5044975582 1709427.3442122738, 920362.6511441572 1709398.6018032134, 920375.7158755483 1709393.3759106568, 920393.2487450752 1709377.2801615826, 920420.0053149642 1709355.5404485478, 920453.4510273256 1709333.800735513, 920491.9135965412 1709322.0947361866, 920496.0943105863 1709320.4224505685, 920497.4113729133 1709313.8371389334))"
9,VILLA COUNTRY,920498.988,1708996.498,10,0,83,0,1,0,0,0,1,"POLYGON ((920633.2908953021 1709295.354839866, 920636.8863566298 1709292.5583699446, 920641.5828042617 1709290.2101461287, 920682.6767210404 1709281.9913627729, 920774.2574498617 1709267.9020198772, 920773.8109803419 1709265.0393623672, 920754.2975474263 1709139.9238219091, 920754.124791971 1709138.6713448581, 920744.9046521626 1709071.8253312472, 920728.4670854511 1708960.2846999904, 920736.6858688068 1708928.5836784753, 920756.6457712422 1708894.5344331444, 920753.1234355184 1708885.1415378805, 920650.9756995254 1708811.172487679, 920542.9574039927 1708731.3328779372, 920484.2518085943 1708685.5425135265, 920477.2071371466 1708689.0648492505, 920433.7649965519 1708705.502415962, 920359.7959463501 1708731.3328779372, 920259.9964341731 1708767.730347084, 920162.545145812 1708799.4313685992, 920156.6745862721 1708809.9983757709, 920184.8532720633 1708880.4450902487, 920205.9872864067 1708933.2801261072, 920218.9025173943 1708955.5882523586, 920240.0365317377 1708988.4633857815, 920284.6527842403 1709043.6466454559, 920396.193415497 1709181.0177386878, 920395.2536091655 1709187.1264798418, 920397.9723345429 1709187.1264798418, 920494.242762918 1709306.5946018014, 920497.4113729133 1709313.8371389334, 920497.7665962044 1709312.0610224782, 920521.1785948573 1709337.145306749, 920530.3761657567 1709342.1621636034, 920543.7544507012 1709341.3260207942, 920564.6580209271 1709328.7838786587, 920595.5953048613 1709304.5357371967, 920622.3518747503 1709297.0104519154, 920631.5494456497 1709292.8297378703, 920633.2908953021 1709295.354839866))"
