columna georreferenciada,LATITUD,LONGITUD,No,TIPO DE INFRACCIÓN,description,name,point
POINT (-74.8004 10.98087),10.98087,-74.8004,1,EXCESO DE VELOCIDAD,No.: 1<br>TIPO DE INFRACCIÓN: EXCESO DE VELOCIDAD<br>LATITUD: 10.98087<br>LONGITUD: -74.8004,CALLE 61 CON CARRERA 35,POINT (-74.8004 10.98087)
POINT (-74.81432 10.989430000000002),10.98943,-74.81432,2,EXCESO DE VELOCIDAD,No.: 2<br>TIPO DE INFRACCIÓN: EXCESO DE VELOCIDAD<br>LATITUD: 10.98943<br>LONGITUD: -74.81432,CALLE 76 CON CARRERA 38C-100,POINT (-74.81432 10.989430000000002)
POINT (-74.78458 10.946670000000001),10.94667,-74.78458,3,NO DETENERSE LUZ ROJA - EXC VELOCIDAD - PARADA SOBRE CEBRA,No.: 3<br>TIPO DE INFRACCIÓN: NO DETENERSE LUZ ROJA - EXC VELOCIDAD - PARADA SOBRE CEBRA <br>LATITUD: 10.94667<br>LONGITUD: -74.78458,CALLE 30 CON CARRERA 8,POINT (-74.78458 10.946670000000001)
POINT (-74.810864 10.985675),10.985675,-74.810864,4,EXCESO DE VELOCIDAD,No.: 4<br>TIPO DE INFRACCIÓN: EXCESO DE VELOCIDAD<br>LATITUD: 10.985675<br>LONGITUD: -74.810864,Calle 72 # 38-79,POINT (-74.810864 10.985675)
POINT (-74.80349 10.95849),10.95849,-74.80349,5,NO DETENERSE LUZ ROJA - EXC VELOCIDAD - PARADA SOBRE CEBRA,No.: 5<br>TIPO DE INFRACCIÓN: NO DETENERSE LUZ ROJA - EXC VELOCIDAD - PARADA SOBRE CEBRA <br>LATITUD: 10.95849<br>LONGITUD: -74.80349,CALLE 56 CON CARRERA 14,POINT (-74.80349 10.95849)
POINT (-74.79918 10.92959),10.92959,-74.79918,6,NO DETENERSE LUZ ROJA - EXC VELOCIDAD - PARADA SOBRE CEBRA,No.: 6<br>TIPO DE INFRACCIÓN: NO DETENERSE LUZ ROJA - EXC VELOCIDAD - PARADA SOBRE CEBRA <br>LATITUD: 10.92959<br>LONGITUD: -74.79918,CALLE 45 CON CARRERA 1,POINT (-74.79918 10.92959)
POINT (-74.83406 11.0131),11.0131,-74.83406,7,EXCESO DE VELOCIDAD,No.: 7<br>TIPO DE INFRACCIÓN: EXCESO DE VELOCIDAD<br>LATITUD: 11.0131<br>LONGITUD: -74.83406,CARRERA 51B CON CALLE 103,POINT (-74.83406 11.0131)
POINT (-74.81055 11.0032),11.0032,-74.81055,8,EXCESO DE VELOCIDAD,No.: 8<br>TIPO DE INFRACCIÓN: EXCESO DE VELOCIDAD<br>LATITUD: 11.0032<br>LONGITUD: -74.81055,CARRERA 51B CON CALLE 79,POINT (-74.81055 11.0032)
POINT (-74.81841 11.00938),11.00938,-74.81841,9,EXCESO DE VELOCIDAD,No.: 9<br>TIPO DE INFRACCIÓN: EXCESO DE VELOCIDAD<br>LATITUD: 11.00938<br>LONGITUD: -74.81841,CARRERA 53 CON CALLE 86,POINT (-74.81841 11.00938)
POINT (-74.77858 10.9402005),10.9402005,-74.77858,10,EXCESO DE VELOCIDAD,No.: 10<br>TIPO DE INFRACCIÓN: EXCESO DE VELOCIDAD<br>LATITUD: 10.9402005<br>LONGITUD: -74.77858,CALLE 19 CON CARRERA 3D,POINT (-74.77858 10.9402005)
